AmountOfGivenCredit,Gender,Education,MaritalStatus,Age,RepaymentStatus,AmountOfBillStatement,AmountOfPreviousPayment,Outcome
200000,Female,University,Married,29,0,81568,3500,0
100000,Female,Graduate School,Single,33,0,90825,8800,0
190000,Female,University,Single,30,0,194724,8900,1
20000,Male,High School,Married,36,8,24166,0,1
230000,Male,Graduate School,Single,42,-2,380,380,1
90000,Female,University,Single,26,0,87561,8548,0
240000,Female,Graduate School,Single,29,0,191059,10000,0
20000,Female,University,Single,23,2,11995,1528,1
20000,Female,High School,Single,22,2,19393,0,1
50000,Female,Graduate School,Single,24,0,2757,1070,0
230000,Female,University,Single,40,0,72742,5000,0
430000,Female,University,Married,41,-2,2830,21419,0
50000,Male,University,Married,34,0,48976,2023,0
230000,Male,University,Single,32,0,143345,6000,0
240000,Female,Others,Single,36,-2,-235,2000,0
120000,Female,Graduate School,Single,30,-1,330,0,1
280000,Female,University,Married,26,0,256455,8354,0
500000,Male,Graduate School,Single,29,-1,8898,1283,0
260000,Male,University,Married,53,-2,-1,0,0
140000,Female,Graduate School,Single,31,-1,727,829,0
310000,Female,High School,Single,28,0,220845,7809,0
50000,Female,High School,Married,36,2,45557,2200,0
50000,Female,High School,Married,35,0,48829,2046,0
30000,Female,High School,Single,29,2,15070,3000,1
200000,Male,Graduate School,Married,43,0,142291,14200,0
80000,Female,High School,Single,33,0,73132,2710,0
310000,Female,High School,Single,36,-1,6282,5864,0
220000,Female,University,Single,26,0,57222,107789,0
80000,Female,University,Single,26,0,35997,0,0
500000,Female,Graduate School,Single,38,0,56197,5000,0
100000,Female,Graduate School,Married,37,0,70113,3181,0
200000,Male,Graduate School,Married,37,-1,4052,4520,1
20000,Male,University,Single,39,0,8799,1171,0
20000,Female,University,Married,28,0,74510,2734,0
80000,Male,University,Single,38,0,54809,2612,0
110000,Male,University,Single,29,0,41300,0,0
100000,Male,University,Married,38,0,99660,4600,0
400000,Male,Others,Married,30,0,3443,69,0
320000,Male,Graduate School,Married,40,-1,430,430,0
180000,Male,University,Single,28,0,139097,5699,0
180000,Female,University,Single,27,0,5319,2300,0
30000,Female,University,Single,22,0,30123,1600,1
30000,Male,University,Single,35,1,14320,0,1
240000,Female,Graduate School,Single,42,0,238107,12067,0
100000,Female,Graduate School,Single,24,2,76831,4037,0
90000,Male,University,Married,50,0,85241,3600,0
20000,Male,University,Married,22,0,19356,1485,0
60000,Male,University,Single,28,0,37788,2500,1
90000,Male,High School,Married,38,2,28774,1400,0
80000,Female,University,Married,40,-1,5143,6458,0
500000,Female,Graduate School,Married,34,0,174246,6371,0
430000,Male,Graduate School,Single,34,0,81963,15000,0
130000,Male,Graduate School,Single,27,-1,339,339,0
500000,Female,University,Married,66,-1,3718,1755,0
350000,Female,University,Married,38,-1,282,2750,0
320000,Male,Graduate School,Single,34,-1,744,2297,0
160000,Female,University,Single,24,0,142214,5300,0
110000,Male,Graduate School,Single,25,2,109887,3500,1
60000,Female,High School,Others,53,0,57605,2088,0
260000,Female,Others,Single,33,0,18457,5000,0
50000,Male,Graduate School,Married,47,0,49550,2743,0
270000,Male,University,Single,44,0,274610,10556,0
210000,Male,Graduate School,Married,52,0,44933,1793,0
20000,Female,University,Married,29,0,16196,2200,0
30000,Female,University,Single,49,2,28859,0,0
500000,Female,Graduate School,Married,56,-1,881,1035,0
360000,Female,Graduate School,Single,31,-1,24500,2251,0
90000,Male,University,Single,30,-1,2629,1079,0
10000,Female,University,Single,28,0,7797,1228,0
200000,Female,University,Single,36,0,93863,4762,0
60000,Male,University,Single,37,1,-391,0,0
80000,Male,University,Married,40,-1,5810,216,0
500000,Male,Graduate School,Single,32,-2,11086,23008,0
50000,Male,University,Married,21,-1,47285,2108,0
50000,Female,University,Single,24,0,45404,1700,0
200000,Female,Graduate School,Single,30,-1,4520,10382,0
470000,Male,University,Married,45,0,293261,18000,0
180000,Female,High School,Married,41,-1,6092,4198,0
240000,Male,University,Married,33,0,23486,3000,0
200000,Male,Graduate School,Married,30,2,2500,0,1
20000,Male,University,Single,40,8,20753,0,1
80000,Female,University,Single,32,0,11572,2670,1
30000,Male,University,Single,54,0,10568,3000,0
200000,Female,Graduate School,Single,35,-1,816,0,0
100000,Female,University,Married,38,1,66459,0,0
70000,Female,High School,Married,30,2,56448,2600,1
140000,Male,University,Married,30,1,0,0,0
30000,Female,University,Married,27,2,26648,1600,0
100000,Female,University,Single,27,0,96191,3504,1
60000,Male,University,Single,38,0,42184,2014,0
50000,Female,Graduate School,Single,23,-1,8225,5308,0
120000,Female,Graduate School,Married,35,-2,0,0,0
50000,Male,High School,Single,23,0,42821,1008,0
300000,Male,University,Single,28,0,293498,13007,0
360000,Female,Graduate School,Married,36,-1,2471,1000,0
40000,Female,University,Married,36,0,24230,2000,0
190000,Female,University,Single,40,-1,18255,19241,0
30000,Female,Graduate School,Single,23,0,14294,1300,0
280000,Female,High School,Single,47,2,1792,0,1
30000,Female,University,Single,23,0,25287,2011,0
500000,Female,Graduate School,Married,32,-1,185419,10573,0
260000,Female,Graduate School,Single,32,-1,1694,5525,0
60000,Female,University,Married,46,0,20351,2000,0
70000,Female,High School,Married,36,0,28518,1504,1
30000,Male,University,Single,27,2,25465,4000,0
300000,Male,High School,Married,37,-1,4926,2855,0
30000,Female,University,Single,22,2,26163,1000,0
40000,Male,High School,Single,43,2,2400,0,1
80000,Male,Graduate School,Single,25,0,65734,3000,0
50000,Male,Graduate School,Single,35,0,48264,1565,1
90000,Female,Graduate School,Married,38,-1,2346,15271,0
260000,Male,Graduate School,Single,29,2,2497,0,1
100000,Female,Graduate School,Married,58,1,27044,0,1
280000,Male,Graduate School,Single,34,1,0,0,0
80000,Female,University,Married,22,0,17087,1500,0
150000,Female,University,Single,27,0,143596,6241,0
90000,Female,University,Single,39,-1,2618,7639,0
130000,Female,Graduate School,Married,33,-1,10653,13,0
210000,Male,University,Single,36,-1,5491,8406,0
420000,Female,Graduate School,Single,44,-1,559,1001,0
500000,Male,Graduate School,Single,39,0,128068,20000,0
180000,Male,Graduate School,Single,30,1,-203,0,1
150000,Female,University,Married,36,0,141460,8021,0
440000,Male,Graduate School,Single,30,0,50735,3000,0
50000,Male,Graduate School,Single,27,0,49114,2005,0
140000,Male,University,Married,29,-1,3300,1300,1
150000,Male,Graduate School,Single,29,0,119613,5900,0
150000,Female,University,Single,27,2,573,0,0
480000,Male,Others,Single,49,-2,7174,0,0
100000,Female,Graduate School,Single,35,0,99031,3300,0
310000,Female,Graduate School,Single,33,0,71855,5000,0
280000,Female,Graduate School,Single,27,0,56144,5000,0
60000,Male,University,Single,51,-1,10304,1500,1
160000,Female,Graduate School,Single,31,1,-200,0,0
90000,Male,University,Married,48,0,51666,2919,0
50000,Female,Graduate School,Single,28,-1,2926,1254,0
200000,Female,University,Married,26,0,45487,2800,0
240000,Male,University,Single,67,0,508581,17389,0
200000,Female,Graduate School,Married,32,-1,846,864,0
100000,Female,University,Single,23,-2,101771,3800,1
50000,Female,Graduate School,Single,29,2,45367,2335,1
240000,Female,Graduate School,Single,30,-1,1749,1099,0
300000,Female,Graduate School,Single,25,1,-4,227,0
350000,Female,High School,Married,43,-1,14103,0,0
50000,Female,High School,Married,26,1,48421,0,1
50000,Female,University,Married,36,0,46801,2839,0
30000,Female,University,Single,25,2,24022,1700,1
50000,Male,University,Married,47,-2,-2640,2640,0
20000,Female,University,Married,34,0,6827,1200,1
270000,Female,University,Single,30,0,280435,13600,0
380000,Male,Graduate School,Married,49,2,380933,14651,1
10000,Female,University,Single,22,5,8541,0,1
80000,Female,University,Single,29,0,7880,3034,0
240000,Female,University,Married,35,2,32463,1800,1
280000,Female,Graduate School,Single,35,0,211645,6445,0
160000,Male,Graduate School,Single,41,0,42863,2000,0
180000,Female,Graduate School,Single,25,0,112403,3500,0
50000,Female,University,Married,35,0,4555,1290,0
50000,Male,University,Married,37,0,33105,10005,0
20000,Male,University,Single,22,1,14380,0,0
20000,Male,University,Single,33,0,18357,1471,0
140000,Male,Graduate School,Single,27,0,72274,3231,0
360000,Male,University,Single,28,-2,0,0,0
180000,Male,University,Married,49,-1,26660,660,0
390000,Male,Graduate School,Married,36,-2,3931,3625,1
30000,Female,High School,Married,33,1,39995,1700,0
210000,Female,Graduate School,Married,35,-1,3805,0,0
20000,Male,University,Single,24,0,6128,1300,0
450000,Male,Graduate School,Married,43,2,1000,0,0
50000,Male,High School,Married,24,1,0,0,0
50000,Male,High School,Single,46,1,49220,0,1
20000,Male,University,Single,39,2,19518,1299,1
200000,Female,Graduate School,Single,39,-1,7475,15617,0
230000,Female,Graduate School,Single,27,0,70327,2963,0
50000,Male,University,Married,41,2,48958,2572,1
50000,Female,University,Single,26,0,44883,3189,0
50000,Male,Graduate School,Single,57,0,51102,2500,0
20000,Male,University,Single,23,0,9811,6097,0
40000,Male,Graduate School,Married,47,2,11084,2000,0
100000,Male,Graduate School,Single,26,-1,567,390,0
150000,Female,University,Married,43,0,158844,10004,0
240000,Male,Graduate School,Married,36,0,14559,1500,0
360000,Male,University,Married,37,-2,-5,3589,0
130000,Male,Graduate School,Single,43,0,130874,5500,0
50000,Female,University,Single,23,0,10587,3500,0
160000,Male,University,Married,60,0,18056,1626,0
340000,Female,University,Married,32,0,34228,75113,0
20000,Male,High School,Single,23,0,2331,2700,1
60000,Male,High School,Single,52,0,22460,1500,0
220000,Female,University,Married,35,0,223150,10000,0
280000,Female,Graduate School,Married,32,-1,1280,2816,1
60000,Male,University,Married,30,0,58920,2319,0
230000,Male,Graduate School,Married,42,2,222059,7300,1
120000,Female,High School,Others,41,0,3307,258,0
240000,Female,Graduate School,Single,30,-1,325,18428,0
420000,Female,Graduate School,Married,29,-2,3020,2916,0
230000,Female,University,Single,31,0,47906,0,0
30000,Female,Graduate School,Single,26,1,30739,0,1
210000,Female,University,Married,30,0,134664,6006,0
250000,Male,Graduate School,Single,29,0,51268,2500,0
70000,Female,University,Married,34,0,58053,2000,0
20000,Female,University,Single,43,0,20212,1415,0
130000,Male,High School,Married,44,0,123770,4600,0
460000,Male,Graduate School,Married,41,0,321987,12000,0
170000,Female,University,Single,29,0,5155,0,0
200000,Male,University,Single,31,-1,7179,7631,0
70000,Male,High School,Married,43,0,31796,1500,1
200000,Female,Graduate School,Married,32,-1,220,0,1
20000,Female,University,Single,30,1,0,0,1
200000,Male,High School,Single,55,0,195507,7048,0
250000,Male,University,Single,45,2,237510,9076,1
50000,Male,University,Married,34,0,37699,2000,0
30000,Female,University,Single,25,0,25664,1448,0
50000,Male,Graduate School,Married,44,-1,50404,2300,0
90000,Male,High School,Married,45,0,13366,1250,0
360000,Male,Graduate School,Single,34,2,2500,0,0
290000,Female,University,Married,45,2,95,6,0
170000,Male,Graduate School,Single,24,0,169883,6808,0
290000,Female,Graduate School,Married,52,-1,33765,2682,0
30000,Male,High School,Single,39,1,27934,0,1
250000,Female,Graduate School,Married,25,-1,4769,6720,0
210000,Male,High School,Single,32,0,104558,4268,0
360000,Female,Graduate School,Married,30,1,0,0,1
120000,Female,University,Married,37,0,78233,2015,0
170000,Male,Graduate School,Single,28,-2,0,0,1
20000,Male,High School,Single,55,-1,3413,0,0
80000,Male,University,Married,25,0,77199,3700,0
200000,Female,University,Married,43,-1,1875,2239,0
150000,Female,Graduate School,Single,32,0,35601,2003,0
110000,Female,High School,Married,44,0,13348,67431,1
180000,Female,University,Single,26,-1,390,390,0
520000,Female,High School,Married,41,-2,7322,2728,0
20000,Male,High School,Married,44,2,12436,1000,1
180000,Female,University,Single,44,-1,7432,7433,0
30000,Male,High School,Married,36,-1,1493,1858,0
380000,Female,Graduate School,Married,31,0,225905,11000,0
160000,Female,Graduate School,Single,42,-1,4980,0,0
220000,Male,Graduate School,Single,32,-1,17715,316,0
250000,Male,Graduate School,Single,29,0,124442,5000,0
330000,Male,Graduate School,Married,53,1,-317,569,0
50000,Male,University,Single,26,2,24724,25000,0
340000,Female,Graduate School,Single,35,-1,484,15904,0
180000,Female,University,Married,41,0,99925,5024,0
30000,Male,Graduate School,Single,35,0,26974,2000,1
10000,Male,High School,Single,45,1,9503,0,0
120000,Female,University,Married,37,-1,396,396,0
250000,Female,University,Single,38,1,0,0,1
200000,Female,Graduate School,Single,39,-1,2277,16021,0
500000,Female,Graduate School,Single,32,0,298809,12475,1
90000,Female,Graduate School,Single,29,1,9370,0,1
80000,Male,High School,Single,38,0,7790,1467,0
740000,Female,University,Married,35,2,960,8229,1
300000,Male,Graduate School,Single,34,1,0,0,1
210000,Male,High School,Married,44,-2,1525,800,0
230000,Male,Graduate School,Married,37,-1,3102,30580,0
270000,Male,High School,Single,51,0,152979,3500,0
270000,Female,Graduate School,Single,32,0,54914,3000,0
180000,Female,Graduate School,Single,30,-2,0,2647,0
280000,Female,University,Single,30,-1,1478,0,0
50000,Male,University,Single,46,0,29254,1737,0
20000,Female,University,Single,26,2,19017,1600,1
170000,Female,High School,Married,54,0,139211,7020,0
300000,Female,University,Married,39,0,145138,5785,0
20000,Male,University,Married,50,1,1065,0,1
110000,Female,University,Single,31,2,1472,1500,1
80000,Male,University,Married,54,1,47339,967,0
80000,Female,Graduate School,Single,23,0,69584,2519,0
60000,Female,University,Married,48,0,58794,7296,0
30000,Male,University,Single,27,0,18951,1270,0
40000,Male,Graduate School,Single,26,0,39723,10000,0
180000,Female,High School,Married,43,1,0,2602,1
290000,Male,University,Married,50,1,0,0,0
50000,Female,Graduate School,Single,26,3,27056,700,1
150000,Female,Graduate School,Single,32,-1,1663,14045,0
50000,Male,University,Married,41,0,50220,2055,0
20000,Male,University,Married,36,0,20710,1739,0
180000,Female,Graduate School,Single,28,2,158245,7400,0
360000,Male,Graduate School,Single,30,-1,30627,4318,0
90000,Female,High School,Married,33,0,86960,3200,1
450000,Male,Graduate School,Married,48,-2,20938,80191,0
140000,Male,Graduate School,Single,29,1,0,0,0
400000,Female,Graduate School,Single,27,-1,2691,426,0
50000,Female,University,Married,30,-1,4959,0,0
420000,Female,University,Married,50,0,405779,16000,0
390000,Female,Graduate School,Single,35,0,245997,10800,1
200000,Female,University,Married,40,-2,39929,33000,0
130000,Male,Graduate School,Single,29,0,110524,10000,0
360000,Female,Graduate School,Single,36,-1,1365,3000,0
290000,Male,University,Married,46,0,196566,7800,0
120000,Female,University,Single,24,0,112336,4200,0
40000,Female,Graduate School,Single,24,0,35225,1933,1
500000,Male,Graduate School,Married,42,-2,5121,31305,0
150000,Female,Graduate School,Married,36,-2,16228,30745,0
240000,Female,Graduate School,Single,26,-1,1611,14,1
80000,Male,High School,Single,44,0,10350,1199,0
220000,Female,Graduate School,Married,48,-1,3467,3340,0
110000,Female,Graduate School,Married,31,-2,0,0,0
220000,Female,University,Married,52,0,52536,4151,0
100000,Female,University,Single,34,1,0,0,0
70000,Female,High School,Married,42,0,6489,3000,0
50000,Female,University,Married,27,1,15345,0,0
200000,Female,Graduate School,Single,32,-1,34500,36659,0
220000,Male,High School,Married,42,-1,285,825,0
200000,Female,High School,Married,42,2,203340,8064,0
350000,Female,Graduate School,Married,43,-1,6337,4300,0
80000,Female,High School,Single,24,2,58850,2700,0
50000,Female,University,Single,56,0,48316,1700,0
200000,Male,Graduate School,Single,32,-1,396,396,0
60000,Female,High School,Married,31,0,27347,5000,0
50000,Male,High School,Married,49,0,50180,2400,1
360000,Female,Graduate School,Single,33,-1,7831,0,0
30000,Female,High School,Single,50,-1,178,1860,1
90000,Female,University,Single,32,2,76442,2000,0
200000,Female,Graduate School,Married,32,1,0,0,0
100000,Male,Others,Single,51,2,101658,4134,0
200000,Female,High School,Single,49,0,196272,17500,0
300000,Female,Graduate School,Married,26,-1,1946,2612,1
10000,Male,High School,Married,30,0,8315,3258,0
400000,Male,University,Single,44,0,6902,1216,0
130000,Female,High School,Married,34,1,126701,6200,1
180000,Male,University,Single,50,-1,1156,396,0
370000,Female,High School,Single,27,0,63412,100000,0
60000,Female,Graduate School,Single,46,0,30073,3000,0
210000,Female,Graduate School,Single,29,0,205131,10000,0
70000,Female,High School,Married,46,0,11332,1250,1
20000,Female,Graduate School,Single,33,1,16180,1000,0
200000,Female,Graduate School,Single,35,0,99291,2742,0
130000,Female,University,Married,30,0,21996,3000,0
120000,Male,University,Married,38,1,116344,0,0
330000,Female,Graduate School,Married,34,0,21576,5002,0
30000,Female,High School,Married,54,2,23498,3600,1
480000,Female,University,Single,39,0,502904,180000,0
100000,Male,Graduate School,Single,39,-1,1442,1261,0
270000,Female,Graduate School,Married,43,-2,1626,1443,0
40000,Female,High School,Married,55,2,2400,0,1
180000,Female,University,Single,34,1,180373,0,0
240000,Male,University,Single,25,2,178878,6095,1
210000,Female,Graduate School,Married,38,-1,4868,13174,0
50000,Female,University,Single,23,1,3,34361,0
230000,Female,High School,Married,44,-1,1424,6553,0
50000,Female,University,Single,24,-1,2675,0,1
250000,Female,Graduate School,Single,41,1,4649,0,0
120000,Female,High School,Married,45,-2,0,0,0
160000,Male,University,Married,35,-2,1822,2229,0
210000,Male,University,Married,29,-1,1685,6715,0
260000,Female,Graduate School,Single,29,0,203896,7282,0
310000,Female,University,Married,32,0,73491,4000,0
50000,Female,High School,Married,42,0,50427,6506,1
360000,Female,Graduate School,Single,30,-2,750,1166,0
50000,Female,Graduate School,Single,24,0,49144,1837,0
240000,Male,University,Married,44,0,199446,7500,0
500000,Male,High School,Married,49,0,74919,1862,0
150000,Female,Graduate School,Married,40,0,152880,6000,0
160000,Female,University,Married,38,-1,316,316,0
410000,Female,University,Single,42,0,37492,1625,0
50000,Female,High School,Single,63,2,51432,0,0
50000,Male,High School,Single,38,0,47350,1772,0
170000,Female,Graduate School,Single,29,0,115194,10000,0
100000,Female,Graduate School,Single,47,0,22970,0,0
230000,Male,Graduate School,Married,46,2,193112,8500,1
20000,Male,University,Single,30,1,17819,0,1
170000,Female,Graduate School,Married,50,-2,3955,5269,0
160000,Female,Graduate School,Single,36,-1,598,0,1
400000,Male,High School,Single,35,-1,92,101,0
340000,Female,Graduate School,Single,29,0,82922,3600,0
90000,Male,High School,Married,31,1,63276,0,1
140000,Female,Graduate School,Single,32,-2,0,10626,0
280000,Female,University,Married,27,-2,747,0,0
180000,Female,University,Married,40,-1,632,316,0
500000,Male,Graduate School,Married,53,1,7196,0,0
360000,Female,Graduate School,Married,34,-2,9100,15658,0
50000,Male,Graduate School,Single,23,0,8003,1310,0
220000,Male,Graduate School,Married,55,-1,1782,0,0
500000,Male,Graduate School,Married,35,0,143839,4844,0
100000,Male,University,Single,41,-1,780,0,0
20000,Female,Graduate School,Single,29,-1,3417,4,1
80000,Female,High School,Married,26,0,76118,4196,0
160000,Female,Graduate School,Married,38,-1,827,827,0
240000,Male,University,Married,39,1,0,1263,0
450000,Male,High School,Married,36,-1,550,0,0
50000,Male,High School,Single,39,0,34390,810,0
150000,Male,University,Married,37,0,27707,1477,1
290000,Female,University,Married,36,0,154336,3600,0
50000,Female,University,Single,22,0,29632,6016,0
80000,Male,High School,Married,38,-1,197,4568,0
50000,Male,University,Single,45,3,25867,4000,1
50000,Male,University,Married,30,0,14040,1152,0
500000,Male,University,Married,42,0,114374,50012,0
500000,Female,Graduate School,Married,39,-2,3220,0,1
200000,Female,High School,Married,40,0,44600,3000,0
30000,Female,High School,Married,22,2,30678,1,0
80000,Female,High School,Married,51,-2,387,2126,0
50000,Female,Graduate School,Married,50,1,50175,0,0
50000,Male,University,Married,31,0,42159,2000,1
280000,Female,University,Single,38,0,94451,4000,0
260000,Female,University,Married,48,1,0,0,0
30000,Female,University,Single,22,1,-802,21286,0
210000,Female,Graduate School,Married,28,1,0,0,0
50000,Female,University,Married,31,0,45074,2201,1
20000,Female,University,Married,29,0,10747,1317,0
310000,Female,Graduate School,Married,47,0,131559,17839,0
100000,Female,University,Married,42,1,0,0,0
180000,Female,University,Single,36,0,161159,7000,1
100000,Male,Graduate School,Single,26,0,18999,5129,0
20000,Male,University,Single,25,-1,11657,0,1
240000,Female,University,Single,46,0,128272,5500,0
200000,Male,University,Single,45,0,200996,9200,0
30000,Female,University,Single,24,-1,1104,1164,0
500000,Female,University,Single,38,-1,18410,0,0
230000,Female,High School,Married,43,-2,1099,2508,0
110000,Female,High School,Single,27,0,28686,5000,1
230000,Female,Graduate School,Single,34,1,1103,16286,0
80000,Female,Graduate School,Married,45,1,74081,0,1
200000,Female,Graduate School,Married,33,1,0,0,0
80000,Female,High School,Single,51,0,77499,3000,0
170000,Male,University,Married,30,0,150693,7000,0
120000,Female,Graduate School,Married,31,-1,413,4269,0
100000,Female,Graduate School,Married,45,1,0,5220,1
210000,Female,Graduate School,Single,34,-1,300878,2250,0
300000,Female,Graduate School,Single,26,-1,3853,1946,0
70000,Female,University,Single,49,-1,390,390,0
30000,Female,University,Single,40,-1,944,0,0
30000,Female,University,Married,51,0,10874,1205,0
80000,Female,University,Married,30,0,83093,3204,0
180000,Female,Graduate School,Married,37,-1,29206,16231,0
360000,Female,Graduate School,Married,28,0,164857,30650,0
50000,Male,University,Married,46,0,48885,2000,0
170000,Male,Others,Married,35,0,91109,6006,0
230000,Female,University,Married,40,-2,0,0,0
500000,Male,Graduate School,Married,44,-1,6723,17410,0
30000,Male,University,Single,26,3,12894,0,1
120000,Male,Graduate School,Single,31,-1,1316,1316,1
200000,Male,Graduate School,Single,38,-2,3388,0,1
60000,Female,High School,Married,38,0,26583,1864,0
140000,Male,University,Single,39,1,143673,7000,0
50000,Male,High School,Single,44,0,40151,2000,0
90000,Female,University,Married,35,-1,6574,4192,0
150000,Female,Graduate School,Single,28,-1,893,2300,0
250000,Female,High School,Single,29,-2,686,0,0
100000,Female,University,Single,24,2,17938,2842,1
320000,Male,Graduate School,Married,43,-1,18625,10000,1
50000,Male,High School,Single,31,0,49415,1278,0
90000,Female,Graduate School,Single,28,1,56889,0,1
250000,Male,University,Single,42,0,212787,9000,0
120000,Female,University,Single,27,0,110686,7000,0
140000,Female,High School,Single,24,0,126546,4922,0
330000,Female,Graduate School,Single,34,-1,203,1503,0
500000,Male,Graduate School,Married,33,-1,1901,3800,0
30000,Male,University,Single,24,1,2706,0,0
80000,Male,Graduate School,Married,41,2,79950,4900,1
320000,Male,Graduate School,Married,40,1,14,1205,0
600000,Male,University,Married,50,0,225274,8773,1
200000,Female,University,Single,36,2,76308,4000,1
240000,Female,University,Single,39,1,228610,0,0
30000,Male,University,Married,54,0,6551,2049,0
20000,Male,University,Single,33,0,14765,1000,0
130000,Female,Graduate School,Single,32,0,132105,8000,0
190000,Male,High School,Married,38,0,94921,4000,0
470000,Female,Graduate School,Married,46,0,42974,3000,0
50000,Female,Graduate School,Single,29,0,15416,2233,0
250000,Female,University,Married,33,0,3694,1090,0
500000,Female,Graduate School,Married,45,0,193083,21507,0
500000,Male,Graduate School,Single,28,2,216657,8508,0
60000,Female,Graduate School,Single,25,0,16006,1400,0
20000,Male,University,Married,61,1,12961,1209,1
50000,Male,University,Married,50,1,36750,5000,0
20000,Male,University,Married,45,2,21136,11,1
140000,Male,Graduate School,Single,27,0,7845,5000,0
80000,Female,University,Married,53,0,31333,1541,0
110000,Female,University,Married,29,0,106302,5500,0
360000,Female,Graduate School,Single,39,-2,3377,37500,0
50000,Female,Others,Single,21,0,1211,2000,0
380000,Male,Graduate School,Married,52,1,0,742,0
50000,Female,University,Married,38,-2,18750,0,0
300000,Female,University,Married,49,-1,300,97,0
360000,Male,Graduate School,Married,29,0,55104,2094,0
60000,Female,University,Single,23,0,27104,1500,0
30000,Male,University,Single,29,0,7965,1000,0
120000,Male,Graduate School,Single,28,0,9383,7703,0
50000,Female,Graduate School,Single,26,-1,1389,722,0
150000,Female,University,Married,40,-1,4083,6248,0
50000,Female,University,Single,23,2,4338,0,1
50000,Female,University,Single,23,0,50105,2205,0
50000,Female,University,Married,39,-1,390,390,1
550000,Female,Graduate School,Single,28,0,257553,12036,0
190000,Male,University,Married,37,1,49541,0,0
310000,Female,University,Married,37,0,44981,1942,0
110000,Male,High School,Single,49,0,113928,4915,0
160000,Female,University,Married,27,-1,86772,2805,0
200000,Female,Graduate School,Single,32,0,219146,7950,0
300000,Male,Graduate School,Single,29,-1,696,696,0
150000,Female,University,Single,28,0,86787,5120,0
90000,Male,Others,Married,57,-2,0,0,0
210000,Female,Graduate School,Single,26,0,6608,3582,0
360000,Female,Graduate School,Married,33,-1,10571,11174,0
150000,Male,Graduate School,Single,28,0,6065,5000,1
100000,Female,University,Married,34,-1,296,0,0
180000,Female,Graduate School,Single,26,-2,4312,2117,0
270000,Male,University,Married,39,0,110917,7005,0
60000,Male,University,Single,53,0,56765,3000,0
220000,Female,University,Married,33,2,223904,0,1
200000,Male,Graduate School,Single,60,-1,12716,12453,0
120000,Female,University,Single,54,0,20157,2000,0
500000,Male,Graduate School,Single,43,-1,37575,107243,0
50000,Male,Others,Single,26,1,0,0,0
30000,Male,Others,Single,38,0,30000,0,0
50000,Male,University,Married,35,0,49008,2171,0
20000,Female,University,Married,50,2,390,780,1
240000,Female,Graduate School,Single,27,1,21260,0,0
30000,Male,Graduate School,Single,28,0,10480,1199,1
70000,Female,High School,Married,45,0,69877,2600,0
50000,Female,High School,Married,25,2,49805,2025,1
500000,Female,Graduate School,Single,28,2,98541,6000,1
170000,Male,Graduate School,Married,41,0,56742,5019,0
20000,Female,High School,Single,22,-1,390,390,0
100000,Female,University,Single,27,0,94656,4171,0
20000,Male,Graduate School,Single,23,1,18551,0,0
210000,Male,High School,Single,27,-1,22431,2010,0
50000,Male,Graduate School,Married,41,1,48063,0,1
20000,Female,High School,Others,43,1,4094,0,0
190000,Male,University,Single,36,0,58107,3000,0
20000,Male,University,Married,35,-1,4966,1200,0
220000,Male,Graduate School,Single,31,0,75538,4000,0
20000,Female,University,Single,34,-1,780,0,0
140000,Female,High School,Married,32,0,88966,3000,0
20000,Male,University,Single,27,0,15526,1300,0
210000,Female,Graduate School,Married,50,-1,90,90,1
220000,Female,Graduate School,Single,36,-1,5385,5363,1
120000,Female,Graduate School,Married,38,-1,980,4000,1
50000,Male,University,Single,25,-1,10695,0,1
230000,Female,Graduate School,Single,24,1,20887,0,0
20000,Male,High School,Single,23,-1,9525,8000,0
210000,Female,Graduate School,Single,31,0,140839,4500,0
210000,Male,Graduate School,Single,26,0,204824,10000,0
10000,Male,Graduate School,Single,38,0,8188,1000,0
100000,Female,University,Single,28,-1,1215,1042,1
30000,Male,University,Single,23,0,27044,2000,0
300000,Male,Graduate School,Married,40,-1,7111,0,0
140000,Male,Graduate School,Single,29,0,60764,3000,0
50000,Male,University,Others,35,0,4943,45200,1
200000,Male,University,Married,40,0,1296,2564,0
260000,Male,Graduate School,Single,33,-1,1025,803,0
250000,Male,University,Married,52,2,29086,5000,1
500000,Female,Graduate School,Married,52,-2,144430,50133,0
60000,Female,High School,Married,44,2,32202,1802,1
360000,Female,University,Single,25,-1,442,444,0
90000,Female,University,Married,41,1,28636,0,1
150000,Male,University,Single,23,0,151686,3000,1
130000,Male,Graduate School,Single,54,1,0,0,0
120000,Male,University,Married,52,0,125022,4509,1
160000,Male,University,Single,29,0,128809,5000,0
500000,Male,High School,Married,37,0,89574,5053,0
130000,Male,Graduate School,Single,28,-1,500,0,0
360000,Female,Graduate School,Single,29,1,0,0,0
120000,Male,University,Married,51,0,115771,5829,1
240000,Female,University,Married,41,1,0,40529,0
50000,Male,University,Single,35,0,41970,1291,0
30000,Male,University,Others,27,0,14935,4500,0
50000,Male,Graduate School,Single,25,0,19456,1645,0
80000,Female,Graduate School,Married,38,2,389,755,1
230000,Female,Graduate School,Single,27,0,7701,2028,0
50000,Male,Graduate School,Married,41,0,46631,2100,0
340000,Female,Graduate School,Single,42,0,374245,15917,1
170000,Male,Graduate School,Single,30,-2,740,740,1
450000,Female,University,Single,32,0,14237,5016,0
